produit_id,date,prevision,modele_utilise,intervalle_confiance_bas,intervalle_confiance_haut
P0151,2025-10-01,39.438221116104444,sarima,31.550576892883555,47.32586533932533
P0151,2025-11-01,38.102685004462316,sarima,30.482148003569854,45.72322200535478
P0151,2025-12-01,37.592262256113514,sarima,30.073809804890814,45.110714707336214
P0151,2026-01-01,37.39718600189557,sarima,29.917748801516456,44.87662320227468
P0163,2025-08-01,104.0,sarima,83.2,124.8
P0163,2025-09-01,38.0,sarima,30.400000000000002,45.6
P0163,2025-10-01,23.0,sarima,18.400000000000002,27.599999999999998
P0163,2025-11-01,39.0,sarima,31.200000000000003,46.8
P0163,2025-12-01,62.0,sarima,49.6,74.39999999999999
P0163,2026-01-01,61.0,sarima,48.800000000000004,73.2
P0244,2025-08-01,37.79466235627633,sarima,30.23572988502107,45.3535948275316
P0244,2025-09-01,52.25423039052908,sarima,41.80338431242327,62.70507646863489
P0244,2025-10-01,29.469456518373242,sarima,23.575565214698596,35.36334782204789
P0244,2025-11-01,33.851143801480134,sarima,27.08091504118411,40.62137256177616
P0244,2025-12-01,29.469456518373242,sarima,23.575565214698596,35.36334782204789
P0244,2026-01-01,33.851143801480134,sarima,27.08091504118411,40.62137256177616
P0193,2025-08-01,0.0,obsolete,0.0,0.0
P0193,2025-09-01,0.0,obsolete,0.0,0.0
P0193,2025-10-01,0.0,obsolete,0.0,0.0
P0193,2025-11-01,0.0,obsolete,0.0,0.0
P0193,2025-12-01,0.0,obsolete,0.0,0.0
P0193,2026-01-01,0.0,obsolete,0.0,0.0
P0203,2025-08-01,52.90806737031811,sarima,42.32645389625449,63.48968084438172
P0203,2025-09-01,41.492397129483635,sarima,33.19391770358691,49.79087655538036
P0203,2025-10-01,57.11384061694133,sarima,45.691072493553065,68.5366087403296
P0203,2025-11-01,57.11384061694133,sarima,45.691072493553065,68.5366087403296
P0203,2025-12-01,39.08909813141322,sarima,31.27127850513058,46.906917757695865
P0203,2026-01-01,28.875077389613963,sarima,23.10006191169117,34.650092867536756
P0036,2025-08-01,2.916666666666667,sarima,2.3333333333333335,3.5000000000000004
P0036,2025-09-01,2.916666666666667,sarima,2.3333333333333335,3.5000000000000004
P0036,2025-10-01,2.916666666666667,sarima,2.3333333333333335,3.5000000000000004
P0036,2025-11-01,2.916666666666667,sarima,2.3333333333333335,3.5000000000000004
P0036,2025-12-01,2.916666666666667,sarima,2.3333333333333335,3.5000000000000004
P0036,2026-01-01,2.916666666666667,sarima,2.3333333333333335,3.5000000000000004
P0246,2025-08-01,4.604134243836865,sarima,3.683307395069492,5.524961092604237
P0246,2025-09-01,5.434037836540034,sarima,4.3472302692320275,6.52084540384804
P0246,2025-10-01,2.554776550173833,sarima,2.0438212401390667,3.0657318602085994
P0246,2025-11-01,0.19896260751146017,sarima,0.15917008600916815,0.23875512901375218
P0246,2025-12-01,0.19036467466762855,sarima,0.15229173973410284,0.22843760960115425
P0246,2026-01-01,4.655048743822465,sarima,3.724038995057972,5.586058492586957
P0160,2025-08-01,72.39932641817643,sarima,57.919461134541145,86.8791917018117
P0160,2025-09-01,42.25808384264384,sarima,33.806467074115076,50.70970061117261
P0160,2025-10-01,30.221781440991442,sarima,24.177425152793155,36.26613772918973
P0160,2025-11-01,18.407260480330482,sarima,14.725808384264386,22.088712576396578
P0160,2025-12-01,46.85479039339039,sarima,37.48383231471231,56.22574847206847
P0160,2026-01-01,33.556437118017115,sarima,26.845149694413692,40.26772454162054
P0174,2025-08-01,30.194444444444443,sarima,24.155555555555555,36.23333333333333
P0174,2025-09-01,30.194444444444443,sarima,24.155555555555555,36.23333333333333
P0174,2025-10-01,30.194444444444443,sarima,24.155555555555555,36.23333333333333
P0174,2025-11-01,30.194444444444443,sarima,24.155555555555555,36.23333333333333
P0174,2025-12-01,30.194444444444443,sarima,24.155555555555555,36.23333333333333
P0174,2026-01-01,30.194444444444443,sarima,24.155555555555555,36.23333333333333
P0260,2025-08-01,1.7777777777777775,sarima,1.422222222222222,2.133333333333333
P0260,2025-09-01,1.7777777777777775,sarima,1.422222222222222,2.133333333333333
P0260,2025-10-01,1.7777777777777775,sarima,1.422222222222222,2.133333333333333
P0260,2025-11-01,1.7777777777777775,sarima,1.422222222222222,2.133333333333333
P0260,2025-12-01,1.7777777777777775,sarima,1.422222222222222,2.133333333333333
P0260,2026-01-01,1.7777777777777775,sarima,1.422222222222222,2.133333333333333
P0207,2025-08-01,52.27777777777778,sarima,41.82222222222222,62.733333333333334
P0207,2025-09-01,52.27777777777778,sarima,41.82222222222222,62.733333333333334
P0207,2025-10-01,52.27777777777778,sarima,41.82222222222222,62.733333333333334
P0207,2025-11-01,52.27777777777778,sarima,41.82222222222222,62.733333333333334
P0207,2025-12-01,52.27777777777778,sarima,41.82222222222222,62.733333333333334
P0207,2026-01-01,52.27777777777778,sarima,41.82222222222222,62.733333333333334
P0122,2025-08-01,57.41816760996606,sarima,45.93453408797285,68.90180113195927
P0122,2025-09-01,52.20644208388584,sarima,41.76515366710868,62.647730500663
P0122,2025-10-01,41.076906782780405,sarima,32.861525426224325,49.292288139336485
P0122,2025-11-01,42.087167001924925,sarima,33.66973360153994,50.50460040230991
P0122,2025-12-01,31.235254837985643,sarima,24.988203870388517,37.48230580558277
P0122,2026-01-01,54.083103817509276,sarima,43.26648305400742,64.89972458101113
P0181,2025-08-01,6.499999999999999,sarima,5.199999999999999,7.799999999999999
P0181,2025-09-01,6.499999999999999,sarima,5.199999999999999,7.799999999999999
P0181,2025-10-01,6.499999999999999,sarima,5.199999999999999,7.799999999999999
P0181,2025-11-01,6.499999999999999,sarima,5.199999999999999,7.799999999999999
P0181,2025-12-01,6.499999999999999,sarima,5.199999999999999,7.799999999999999
P0181,2026-01-01,6.499999999999999,sarima,5.199999999999999,7.799999999999999
P0171,2025-08-01,33.388888888888886,sarima,26.71111111111111,40.06666666666666
P0171,2025-09-01,33.388888888888886,sarima,26.71111111111111,40.06666666666666
P0171,2025-10-01,33.388888888888886,sarima,26.71111111111111,40.06666666666666
P0171,2025-11-01,33.388888888888886,sarima,26.71111111111111,40.06666666666666
P0171,2025-12-01,33.388888888888886,sarima,26.71111111111111,40.06666666666666
P0171,2026-01-01,33.388888888888886,sarima,26.71111111111111,40.06666666666666
P0106,2025-08-01,0.0,obsolete,0.0,0.0
P0106,2025-09-01,0.0,obsolete,0.0,0.0
P0106,2025-10-01,0.0,obsolete,0.0,0.0
P0106,2025-11-01,0.0,obsolete,0.0,0.0
P0106,2025-12-01,0.0,obsolete,0.0,0.0
P0106,2026-01-01,0.0,obsolete,0.0,0.0
P0108,2025-08-01,2.666666666666667,sarima,2.1333333333333337,3.2
P0108,2025-09-01,2.666666666666667,sarima,2.1333333333333337,3.2
P0108,2025-10-01,2.666666666666667,sarima,2.1333333333333337,3.2
P0108,2025-11-01,2.666666666666667,sarima,2.1333333333333337,3.2
P0108,2025-12-01,2.666666666666667,sarima,2.1333333333333337,3.2
P0108,2026-01-01,2.666666666666667,sarima,2.1333333333333337,3.2
