produit_id,mois_offset,quantite_commandee_emp,commande_passee_emp,stock_final_emp,rupture_emp,demande_prevue,cout_achat
P0179,2,0,0,70.0,0.0,0.0,58.0
P0179,3,0,0,70.0,0.0,0.0,58.0
P0179,4,0,0,70.0,0.0,0.0,58.0
P0179,5,0,0,70.0,0.0,0.0,58.0
P0179,6,0,0,70.0,0.0,0.0,58.0
P0232,1,13,1,0.0,3.6701080838845117,6.670108083884512,280.0
P0232,2,13,1,0.0,4.754572631651938,4.754572631651938,280.0
P0232,3,13,1,2.078683947170001,0.0,10.921316052829999,280.0
P0232,4,0,0,10.796380197933289,0.0,4.282303749236712,280.0
P0232,5,0,0,14.57375735450927,0.0,9.222622843424018,280.0
P0232,6,0,0,12.259828104991279,0.0,2.313929249517991,280.0
P0087,1,0,0,0.0,0.0,0.0,304.0
P0087,2,0,0,0.0,0.0,0.0,304.0
P0087,3,0,0,0.0,0.0,0.0,304.0
P0087,4,0,0,0.0,0.0,0.0,304.0
P0087,5,0,0,0.0,0.0,0.0,304.0
P0087,6,0,0,0.0,0.0,0.0,304.0
P0157,1,81,1,0.0,11.54403173604328,36.54403173604328,38.0
P0157,2,81,1,27.481956394227012,0.0,53.51804360577299,38.0
P0157,3,0,0,79.55191280885019,0.0,28.930043585376822,38.0
P0157,4,0,0,51.645951862349236,0.0,27.90596094650095,38.0
P0157,5,81,1,5.518039346207196,0.0,46.12791251614204,38.0
P0157,6,81,1,36.90347813783598,0.0,49.61456120837121,38.0
P0086,1,23,1,3.400978803210938,0.0,12.599021196789062,200.0
P0086,2,23,1,0.0,10.651506631674035,14.052485434884973,200.0
P0086,3,0,0,11.79777182484967,0.0,11.20222817515033,200.0
P0086,4,0,0,23.46634174621466,0.0,11.33143007863501,200.0
P0086,5,0,0,13.907712273990066,0.0,9.558629472224593,200.0
P0086,6,23,1,4.776820384191701,0.0,9.130891889798365,200.0
P0220,1,36,1,0.0,14.153798669309513,23.153798669309513,130.0
