produit_id,mois_offset,quantite_commandee,stock_final,rupture,demande_prevue,commande_passee,classe_abc,cout_achat,lead_time_mois
P0189,2,14,0.0,14.382117,14.382117193782452,1,A,144.0,2
P0189,3,15,0.0,0.0,16.532782891430642,1,A,144.0,2
P0189,4,13,0.0,0.0,14.456979667836015,1,A,144.0,2
P0189,5,0,0.0,0.0,14.96428842258913,0,A,144.0,2
P0189,6,0,0.0,0.0,13.436930893970864,0,A,144.0,2
P0221,1,18,0.0,5.3278223,16.327822259782216,1,A,165.0,1
P0221,2,15,0.0,0.0,17.98783454348922,1,A,165.0,1
P0221,3,15,0.0,0.0,14.90751278892439,1,A,165.0,1
P0221,4,16,0.0,0.0,14.998929239845458,1,A,165.0,1
P0221,5,15,0.0,0.0,16.361329216159447,1,A,165.0,1
P0221,6,0,0.0,0.0,15.106222990489318,0,A,165.0,1
P0109,1,21,16.679651,0.0,13.320349407375666,1,A,135.0,2
P0109,2,19,0.0,2.1927784,18.872428968255182,1,A,135.0,2
P0109,3,9,0.0,0.0,21.35402342663404,1,A,135.0,2
P0109,4,15,0.0,0.0,18.912678743394878,1,A,135.0,2
P0109,5,0,0.0,0.0,9.435249301774242,0,A,135.0,2
P0109,6,0,0.0,0.0,15.424746647622056,0,A,135.0,2
P0219,1,16,0.0,7.9138708,17.913870825062855,1,A,165.0,2
P0219,2,12,0.0,20.390249,20.390249133827716,1,A,165.0,2
P0219,3,11,0.0,0.0,16.11642319678386,1,A,165.0,2
P0219,4,16,0.0,0.0,12.359772688478984,1,A,165.0,2
P0219,5,0,0.0,0.0,10.936457321227813,0,A,165.0,2
P0219,6,0,0.0,0.0,15.735318744819821,0,A,165.0,2
P0060,1,17,0.0,9.1320387,12.132038682965899,1,A,420.0,1
P0060,2,18,0.0,0.0,17.21882838854484,1,A,420.0,1
P0060,3,15,0.0,0.0,18.020545181971514,1,A,420.0,1
P0060,4,13,0.0,0.0,14.59052119140537,1,A,420.0,1
P0060,5,14,0.0,0.0,13.366755253117539,1,A,420.0,1
P0060,6,0,0.0,0.0,13.791735409975086,0,A,420.0,1
P0056,1,0,7.1575648,0.0,5.842435248388441,0,A,280.0,1
P0056,2,6,0.037735916,0.0,7.1198288354459836,1,A,280.0,1
P0056,3,5,0.0,0.0,6.165443550648751,1,A,280.0,1
P0056,4,8,0.0,0.0,5.206853715660022,1,A,280.0,1
P0056,5,9,0.0,0.0,7.670171543413593,1,A,280.0,1
P0056,6,0,0.0,0.0,8.832441846915565,0,A,280.0,1
P0177,1,12,21.338408,0.0,38.661591973385825,1,A,56.0,1
P0177,2,40,0.0,0.0,33.258862993790785,1,A,56.0,1
P0177,3,52,0.0,0.0,40.27977226867138,1,A,56.0,1
P0177,4,38,0.0,0.0,51.50765592365021,1,A,56.0,1
P0177,5,40,0.0,0.0,37.79349644500864,1,A,56.0,1
P0177,6,0,0.0,0.0,40.01134061371729,0,A,56.0,1
P0096,1,30,0.0,8.0017908,23.00179077120166,1,A,98.0,2
P0096,2,18,0.0,24.552487,24.552487316952874,1,A,98.0,2
P0096,3,19,0.0,0.0,30.258149660771345,1,A,98.0,2
P0096,4,16,0.0,0.0,18.285037409604758,1,A,98.0,2
P0096,5,0,0.0,0.0,19.414229452804474,0,A,98.0,2
P0096,6,0,0.0,0.0,16.23921423462022,0,A,98.0,2
P0055,1,0,2.9950047,0.0,3.0049952701642897,0,A,304.0,1
P0055,2,5,0.0,0.0,3.34400053052498,1,A,304.0,1
P0055,3,5,0.0,0.0,5.171822687168041,1,A,304.0,1
P0055,4,4,0.0,0.0,4.552883470764986,1,A,304.0,1
P0055,5,7,0.0,0.0,3.857970435350522,1,A,304.0,1
P0055,6,0,0.0,0.0,7.248372723497856,0,A,304.0,1
P0005,1,7,7.8693617,0.0,22.130638262416085,1,A,130.0,1
P0005,2,8,0.0,0.0,15.243163436395196,1,A,130.0,1
P0005,3,18,0.0,0.0,7.860042338817009,1,A,130.0,1
P0005,4,25,0.0,0.0,18.00569603175472,1,A,130.0,1
P0005,5,14,0.0,0.0,24.87180492416602,1,A,130.0,1
P0005,6,0,0.0,0.0,13.668007363923442,0,A,130.0,1
P0186,1,0,9.3082891,0.0,4.691710926876053,0,A,152.0,1
P0186,2,3,4.8107406,0.0,4.497548472204912,1,A,152.0,1
P0186,3,6,0.0,0.0,7.854113664515124,1,A,152.0,1
P0186,4,9,0.0,0.0,5.958917625875982,1,A,152.0,1
